Time(s),wg1(cm),wg2(cm),wg3(cm),wg4(cm),wg5(cm),wg6(cm),wg7(cm)
105.553,1.0,-0.94,-0.89,-0.15,-0.67,-0.41,0.0
105.592,1.04,-0.95,-0.95,-0.16,-0.64,-0.76,-0.01
105.631,1.05,-0.96,-1.0,-0.1,-0.62,-1.0,-0.03
105.671,1.04,-0.97,-1.04,-0.03,-0.57,-1.16,-0.04
105.71,0.99,-0.99,-1.05,0.04,-0.53,-1.22,-0.05
105.749,0.91,-0.96,-1.03,0.11,-0.46,-1.17,-0.07
105.789,0.82,-0.94,-0.97,0.18,-0.39,-1.06,-0.1
105.828,0.73,-0.88,-0.89,0.22,-0.32,-0.9,-0.16
105.867,0.66,-0.81,-0.79,0.19,-0.27,-0.71,-0.18
105.907,0.56,-0.73,-0.7,0.12,-0.21,-0.51,-0.18
105.946,0.43,-0.66,-0.55,0.01,-0.15,-0.3,-0.1
105.985,0.29,-0.58,-0.34,-0.1,-0.06,-0.1,0.07
106.024,0.14,-0.51,-0.04,-0.22,0.1,0.09,0.32
106.064,-0.02,-0.4,0.35,-0.32,0.34,0.27,0.61
106.103,-0.15,-0.26,0.81,-0.4,0.65,0.41,0.94
106.142,-0.26,-0.1,1.26,-0.46,1.03,0.49,1.31
106.182,-0.34,0.1,1.64,-0.48,1.42,0.48,1.67
106.221,-0.44,0.28,1.88,-0.49,1.82,0.35,1.89
106.26,-0.53,0.47,1.92,-0.5,2.09,0.15,1.93
106.3,-0.6,0.64,1.81,-0.52,2.13,-0.13,1.79
106.339,-0.67,0.82,1.55,-0.55,1.97,-0.39,1.49
106.378,-0.72,1.0,1.25,-0.57,1.59,-0.64,1.07
106.418,-0.74,1.17,1.02,-0.59,1.11,-0.85,0.62
106.457,-0.76,1.26,0.86,-0.6,0.59,-1.02,0.15
106.496,-0.77,1.29,0.72,-0.63,0.1,-1.14,-0.33
106.536,-0.8,1.26,0.59,-0.66,-0.36,-1.18,-0.74
106.575,-0.81,1.21,0.5,-0.71,-0.69,-1.14,-1.02
106.614,-0.84,1.15,0.45,-0.75,-0.88,-1.02,-1.2
106.653,-0.85,1.09,0.42,-0.79,-0.94,-0.81,-1.27
106.693,-0.86,1.03,0.38,-0.82,-0.89,-0.55,-1.26
106.732,-0.84,0.94,0.3,-0.83,-0.76,-0.23,-1.19
106.771,-0.79,0.81,0.22,-0.83,-0.57,0.11,-1.06
106.811,-0.72,0.66,0.11,-0.82,-0.35,0.46,-0.88
106.85,-0.66,0.55,0.0,-0.8,-0.13,0.75,-0.7
106.889,-0.59,0.46,-0.1,-0.76,0.07,0.92,-0.55
106.929,-0.5,0.4,-0.18,-0.66,0.2,0.93,-0.43
106.968,-0.4,0.35,-0.23,-0.48,0.26,0.86,-0.36
107.007,-0.29,0.29,-0.26,-0.23,0.22,0.78,-0.29
107.047,-0.16,0.22,-0.29,0.07,0.15,0.75,-0.24
107.086,-0.04,0.12,-0.32,0.43,0.05,0.8,-0.18
107.125,0.08,0.02,-0.36,0.88,-0.07,0.92,-0.13
107.165,0.21,-0.07,-0.42,1.42,-0.19,1.04,-0.09
107.204,0.34,-0.19,-0.47,1.96,-0.29,1.15,-0.06
107.243,0.45,-0.32,-0.54,2.28,-0.39,1.21,-0.06
107.282,0.55,-0.46,-0.58,2.28,-0.44,1.25,-0.06
107.322,0.63,-0.59,-0.61,2.03,-0.5,1.23,-0.09
107.361,0.69,-0.72,-0.64,1.59,-0.56,1.15,-0.09
107.4,0.75,-0.82,-0.67,1.08,-0.61,0.99,-0.09
107.44,0.8,-0.88,-0.7,0.62,-0.64,0.75,-0.06
107.479,0.86,-0.93,-0.75,0.31,-0.67,0.45,-0.04
107.518,0.93,-0.94,-0.81,0.08,-0.67,0.09,-0.01
107.558,0.99,-0.94,-0.87,-0.11,-0.67,-0.29,0.0
107.597,1.03,-0.94,-0.94,-0.15,-0.65,-0.64,0.0
107.636,1.05,-0.95,-0.99,-0.11,-0.63,-0.92,-0.03
107.676,1.05,-0.97,-1.04,-0.05,-0.6,-1.14,-0.04
107.715,1.02,-0.99,-1.06,0.02,-0.55,-1.22,-0.05
107.754,0.94,-0.97,-1.04,0.09,-0.48,-1.21,-0.07
107.794,0.85,-0.94,-0.99,0.16,-0.41,-1.11,-0.1
107.833,0.78,-0.89,-0.92,0.21,-0.34,-0.95,-0.14
107.872,0.69,-0.83,-0.83,0.2,-0.28,-0.77,-0.18
107.911,0.59,-0.76,-0.74,0.14,-0.22,-0.58,-0.18
107.951,0.48,-0.69,-0.61,0.04,-0.16,-0.37,-0.13
107.99,0.34,-0.61,-0.43,-0.07,-0.09,-0.17,0.01
108.029,0.18,-0.53,-0.15,-0.18,0.05,0.02,0.23
108.069,0.03,-0.43,0.21,-0.29,0.26,0.21,0.52
108.108,-0.1,-0.31,0.64,-0.38,0.55,0.36,0.84
108.147,-0.22,-0.16,1.11,-0.44,0.91,0.48,1.19
108.187,-0.32,0.02,1.51,-0.47,1.29,0.5,1.57
108.226,-0.4,0.22,1.81,-0.49,1.7,0.42,1.86
108.265,-0.49,0.4,1.93,-0.5,2.02,0.23,1.94
108.305,-0.58,0.58,1.88,-0.51,2.15,-0.03,1.87
108.344,-0.65,0.75,1.66,-0.54,2.05,-0.3,1.6
108.383,-0.71,0.93,1.36,-0.56,1.74,-0.58,1.2
108.423,-0.73,1.11,1.09,-0.59,1.27,-0.79,0.77
108.462,-0.76,1.23,0.92,-0.6,0.76,-0.97,0.29
108.501,-0.77,1.29,0.76,-0.62,0.27,-1.1,-0.19
108.54,-0.79,1.28,0.62,-0.65,-0.21,-1.17,-0.62
108.58,-0.81,1.23,0.53,-0.69,-0.61,-1.16,-0.94
108.619,-0.84,1.18,0.48,-0.74,-0.82,-1.06,-1.15
108.658,-0.85,1.12,0.44,-0.78,-0.91,-0.89,-1.26
108.698,-0.86,1.06,0.39,-0.81,-0.9,-0.64,-1.27
108.737,-0.85,0.97,0.33,-0.82,-0.81,-0.33,-1.22
108.776,-0.8,0.87,0.24,-0.83,-0.64,0.02,-1.1
108.816,-0.74,0.72,0.16,-0.82,-0.42,0.35,-0.94
108.855,-0.68,0.59,0.03,-0.82,-0.19,0.66,-0.75
108.894,-0.61,0.49,-0.07,-0.78,0.02,0.87,-0.58
108.934,-0.53,0.42,-0.15,-0.71,0.16,0.94,-0.46
108.973,-0.44,0.36,-0.22,-0.55,0.24,0.9,-0.37
109.012,-0.33,0.31,-0.25,-0.32,0.24,0.81,-0.31
109.051,-0.2,0.24,-0.28,-0.03,0.17,0.75,-0.26
109.091,-0.09,0.16,-0.31,0.31,0.07,0.78,-0.2
109.13,0.03,0.07,-0.34,0.72,-0.05,0.87,-0.14
109.169,0.16,-0.04,-0.4,1.23,-0.16,1.0,-0.11
109.209,0.28,-0.16,-0.45,1.8,-0.27,1.11,-0.07
109.248,0.41,-0.28,-0.51,2.22,-0.36,1.21,-0.05
109.287,0.51,-0.41,-0.56,2.31,-0.43,1.24,-0.06
109.327,0.6,-0.55,-0.61,2.14,-0.49,1.25,-0.07
109.366,0.66,-0.67,-0.63,1.75,-0.55,1.18,-0.07
109.405,0.73,-0.78,-0.65,1.25,-0.6,1.04,-0.09
109.445,0.78,-0.87,-0.7,0.76,-0.63,0.83,-0.09
109.484,0.84,-0.9,-0.73,0.4,-0.65,0.54,-0.05
109.523,0.91,-0.93,-0.79,0.16,-0.67,0.2,-0.01
109.563,0.97,-0.94,-0.86,-0.05,-0.67,-0.17,0.0
109.602,1.02,-0.94,-0.92,-0.15,-0.67,-0.53,0.01
109.641,1.04,-0.95,-0.97,-0.13,-0.63,-0.84,-0.01
109.68,1.04,-0.96,-1.03,-0.06,-0.6,-1.06,-0.03
109.72,1.03,-0.97,-1.05,0.01,-0.56,-1.19,-0.05
109.759,0.97,-0.97,-1.06,0.07,-0.5,-1.22,-0.06
109.798,0.89,-0.96,-1.02,0.14,-0.43,-1.15,-0.09
109.838,0.8,-0.93,-0.94,0.2,-0.36,-1.0,-0.12
109.877,0.71,-0.87,-0.86,0.21,-0.29,-0.83,-0.17
109.916,0.63,-0.79,-0.77,0.17,-0.25,-0.64,-0.19
109.956,0.52,-0.72,-0.66,0.07,-0.2,-0.43,-0.16
109.995,0.39,-0.64,-0.5,-0.03,-0.13,-0.23,-0.04
110.034,0.24,-0.57,-0.26,-0.15,-0.01,-0.04,0.15
110.074,0.1,-0.48,0.07,-0.26,0.17,0.15,0.42
110.113,-0.04,-0.37,0.48,-0.35,0.44,0.31,0.73
110.152,-0.17,-0.23,0.94,-0.42,0.79,0.46,1.09
110.192,-0.29,-0.05,1.37,-0.47,1.18,0.5,1.47
110.231,-0.38,0.14,1.72,-0.48,1.57,0.46,1.79
110.27,-0.46,0.34,1.9,-0.49,1.94,0.3,1.94
110.309,-0.54,0.51,1.91,-0.51,2.13,0.05,1.9
110.349,-0.63,0.67,1.76,-0.53,2.1,-0.22,1.69
110.388,-0.68,0.85,1.47,-0.56,1.85,-0.49,1.35
110.427,-0.72,1.05,1.17,-0.58,1.42,-0.73,0.91
110.467,-0.74,1.19,0.96,-0.59,0.91,-0.93,0.45
110.506,-0.77,1.26,0.82,-0.61,0.42,-1.08,-0.05
110.545,-0.79,1.29,0.66,-0.63,-0.06,-1.15,-0.5
110.585,-0.81,1.25,0.55,-0.67,-0.49,-1.17,-0.86
110.624,-0.83,1.2,0.49,-0.72,-0.76,-1.09,-1.09
110.663,-0.85,1.14,0.46,-0.77,-0.9,-0.93,-1.22
110.703,-0.86,1.08,0.41,-0.8,-0.92,-0.72,-1.26
110.742,-0.85,1.01,0.35,-0.82,-0.85,-0.43,-1.23
110.781,-0.83,0.9,0.27,-0.83,-0.7,-0.1,-1.14
110.821,-0.78,0.78,0.18,-0.83,-0.5,0.24,-0.99
110.86,-0.72,0.64,0.08,-0.82,-0.26,0.58,-0.81
110.899,-0.65,0.52,-0.03,-0.8,-0.04,0.83,-0.64
110.938,-0.58,0.43,-0.12,-0.74,0.14,0.92,-0.5
110.978,-0.49,0.38,-0.2,-0.61,0.23,0.91,-0.39
111.017,-0.38,0.32,-0.24,-0.41,0.24,0.83,-0.32
111.056,-0.26,0.26,-0.28,-0.14,0.2,0.75,-0.28
111.096,-0.13,0.19,-0.3,0.18,0.1,0.77,-0.22
111.135,-0.02,0.1,-0.32,0.56,-0.01,0.84,-0.17
111.174,0.11,-0.01,-0.37,1.05,-0.14,0.97,-0.12
111.214,0.24,-0.12,-0.43,1.61,-0.25,1.07,-0.09
111.253,0.36,-0.24,-0.5,2.1,-0.34,1.18,-0.06
111.292,0.48,-0.36,-0.55,2.31,-0.41,1.24,-0.06
111.332,0.57,-0.51,-0.6,2.22,-0.47,1.25,-0.06
111.371,0.64,-0.64,-0.63,1.9,-0.53,1.22,-0.09
111.41,0.7,-0.75,-0.65,1.43,-0.58,1.1,-0.09
111.45,0.77,-0.84,-0.68,0.92,-0.62,0.91,-0.07
111.489,0.82,-0.89,-0.72,0.51,-0.64,0.65,-0.05
111.528,0.89,-0.91,-0.77,0.24,-0.67,0.31,-0.03
111.567,0.94,-0.93,-0.83,0.01,-0.67,-0.04,0.0
111.607,0.99,-0.94,-0.89,-0.13,-0.67,-0.41,0.01
111.646,1.03,-0.95,-0.96,-0.14,-0.64,-0.74,0.0
111.685,1.05,-0.96,-1.02,-0.08,-0.62,-1.0,-0.03
111.725,1.04,-0.97,-1.04,-0.02,-0.57,-1.17,-0.05
111.764,0.99,-0.99,-1.06,0.05,-0.53,-1.22,-0.07
111.803,0.92,-0.97,-1.03,0.12,-0.46,-1.18,-0.09
111.843,0.84,-0.95,-0.97,0.19,-0.39,-1.06,-0.11
111.882,0.75,-0.88,-0.89,0.22,-0.32,-0.9,-0.16
111.921,0.68,-0.83,-0.81,0.19,-0.26,-0.71,-0.19
111.961,0.56,-0.75,-0.71,0.11,-0.21,-0.51,-0.18
112.0,0.44,-0.66,-0.57,0.0,-0.15,-0.29,-0.09
112.039,0.3,-0.59,-0.36,-0.11,-0.06,-0.09,0.08
112.079,0.15,-0.51,-0.08,-0.22,0.09,0.1,0.33
112.118,0.01,-0.41,0.32,-0.32,0.34,0.28,0.62
112.157,-0.12,-0.28,0.76,-0.4,0.66,0.42,0.97
112.196,-0.25,-0.11,1.22,-0.45,1.04,0.49,1.35
112.236,-0.34,0.07,1.61,-0.48,1.43,0.49,1.7
112.275,-0.44,0.26,1.86,-0.49,1.83,0.36,1.92
112.314,-0.52,0.44,1.92,-0.51,2.09,0.14,1.94
112.354,-0.59,0.61,1.82,-0.53,2.13,-0.14,1.79
112.393,-0.66,0.78,1.58,-0.56,1.97,-0.42,1.47
112.432,-0.71,0.97,1.27,-0.58,1.59,-0.67,1.04
112.472,-0.73,1.14,1.03,-0.59,1.11,-0.89,0.59
112.511,-0.77,1.26,0.87,-0.6,0.59,-1.04,0.1
112.55,-0.78,1.29,0.72,-0.62,0.09,-1.14,-0.37
112.59,-0.8,1.26,0.59,-0.65,-0.36,-1.17,-0.75
112.629,-0.83,1.23,0.51,-0.7,-0.69,-1.12,-1.03
112.668,-0.85,1.17,0.46,-0.75,-0.88,-0.99,-1.19
112.708,-0.86,1.11,0.43,-0.79,-0.92,-0.79,-1.23
112.747,-0.86,1.05,0.38,-0.82,-0.88,-0.52,-1.23
112.786,-0.84,0.95,0.3,-0.82,-0.76,-0.2,-1.16
112.825,-0.8,0.82,0.21,-0.83,-0.57,0.15,-1.03
112.865,-0.73,0.69,0.11,-0.83,-0.33,0.47,-0.87
112.904,-0.67,0.55,0.01,-0.82,-0.11,0.74,-0.69
112.943,-0.59,0.46,-0.1,-0.77,0.09,0.91,-0.54
112.983,-0.52,0.4,-0.18,-0.67,0.22,0.92,-0.42
113.022,-0.43,0.35,-0.23,-0.49,0.26,0.85,-0.33
113.061,-0.31,0.3,-0.26,-0.24,0.22,0.77,-0.29
113.101,-0.18,0.23,-0.29,0.06,0.13,0.73,-0.24
113.14,-0.06,0.12,-0.32,0.41,0.02,0.79,-0.18
113.179,0.07,0.04,-0.35,0.86,-0.11,0.91,-0.14
113.219,0.18,-0.07,-0.41,1.4,-0.21,1.05,-0.1
113.258,0.31,-0.19,-0.46,1.94,-0.3,1.16,-0.07
113.297,0.44,-0.32,-0.53,2.28,-0.39,1.23,-0.06
113.337,0.55,-0.46,-0.58,2.28,-0.44,1.25,-0.06
113.376,0.62,-0.59,-0.62,2.05,-0.5,1.24,-0.09
113.415,0.68,-0.71,-0.65,1.61,-0.56,1.16,-0.09
113.454,0.73,-0.81,-0.67,1.1,-0.61,0.99,-0.09
113.494,0.79,-0.88,-0.71,0.64,-0.64,0.75,-0.05
113.533,0.85,-0.91,-0.75,0.32,-0.67,0.43,-0.03
113.572,0.92,-0.93,-0.82,0.09,-0.67,0.08,0.0
113.612,0.98,-0.94,-0.88,-0.1,-0.67,-0.29,0.02
113.651,1.02,-0.94,-0.94,-0.14,-0.64,-0.64,0.01
113.69,1.04,-0.95,-0.99,-0.11,-0.63,-0.92,-0.03
113.73,1.05,-0.99,-1.04,-0.04,-0.58,-1.14,-0.05
113.769,1.02,-1.0,-1.06,0.02,-0.54,-1.22,-0.06
113.808,0.94,-0.99,-1.04,0.09,-0.48,-1.21,-0.09
113.848,0.86,-0.96,-0.99,0.16,-0.41,-1.1,-0.11
113.887,0.77,-0.91,-0.92,0.22,-0.34,-0.93,-0.14
113.926,0.7,-0.84,-0.84,0.2,-0.28,-0.76,-0.18
113.965,0.6,-0.77,-0.75,0.14,-0.23,-0.56,-0.19
114.005,0.49,-0.69,-0.63,0.04,-0.19,-0.37,-0.12
114.044,0.35,-0.63,-0.45,-0.07,-0.11,-0.16,0.02
114.083,0.19,-0.54,-0.19,-0.18,0.03,0.03,0.25
114.123,0.05,-0.46,0.17,-0.29,0.24,0.22,0.53
114.162,-0.08,-0.34,0.6,-0.37,0.54,0.37,0.86
114.201,-0.2,-0.19,1.05,-0.43,0.9,0.48,1.23
114.241,-0.31,0.0,1.47,-0.47,1.28,0.49,1.61
114.28,-0.4,0.19,1.79,-0.48,1.69,0.42,1.88
114.319,-0.49,0.37,1.91,-0.5,2.03,0.23,1.96
114.359,-0.58,0.54,1.88,-0.52,2.15,-0.04,1.84
114.398,-0.65,0.72,1.68,-0.55,2.05,-0.33,1.57
114.437,-0.71,0.9,1.38,-0.57,1.75,-0.6,1.17
114.477,-0.72,1.08,1.11,-0.59,1.28,-0.83,0.73
114.516,-0.77,1.21,0.93,-0.59,0.77,-1.0,0.26
114.555,-0.78,1.29,0.77,-0.61,0.27,-1.12,-0.23
114.594,-0.8,1.28,0.63,-0.64,-0.21,-1.16,-0.65
114.634,-0.83,1.24,0.53,-0.68,-0.6,-1.15,-0.95
114.673,-0.84,1.18,0.48,-0.73,-0.83,-1.04,-1.13
114.712,-0.85,1.12,0.44,-0.78,-0.92,-0.86,-1.22
114.752,-0.86,1.07,0.4,-0.81,-0.91,-0.61,-1.23
114.791,-0.85,0.99,0.32,-0.82,-0.82,-0.3,-1.18
114.83,-0.81,0.87,0.24,-0.83,-0.64,0.03,-1.07
114.87,-0.76,0.73,0.14,-0.84,-0.41,0.37,-0.91
114.909,-0.7,0.6,0.04,-0.83,-0.18,0.67,-0.74
114.948,-0.63,0.49,-0.07,-0.81,0.03,0.87,-0.57
114.988,-0.56,0.42,-0.15,-0.72,0.19,0.94,-0.45
115.027,-0.47,0.37,-0.21,-0.57,0.26,0.87,-0.37
115.066,-0.36,0.32,-0.25,-0.35,0.24,0.78,-0.31
115.106,-0.24,0.25,-0.28,-0.06,0.16,0.72,-0.26
115.145,-0.11,0.17,-0.3,0.27,0.06,0.77,-0.2
115.184,0.02,0.06,-0.33,0.68,-0.06,0.87,-0.16
115.223,0.14,-0.04,-0.39,1.21,-0.18,1.0,-0.12
115.263,0.25,-0.16,-0.44,1.76,-0.28,1.12,-0.09
115.302,0.38,-0.28,-0.51,2.19,-0.36,1.21,-0.06
115.341,0.5,-0.41,-0.56,2.31,-0.43,1.25,-0.07
115.381,0.59,-0.54,-0.61,2.16,-0.48,1.25,-0.09
115.42,0.66,-0.67,-0.64,1.79,-0.54,1.19,-0.09
115.459,0.72,-0.78,-0.66,1.29,-0.58,1.06,-0.09
115.499,0.77,-0.87,-0.7,0.79,-0.62,0.85,-0.06
115.538,0.83,-0.9,-0.73,0.43,-0.64,0.56,-0.04
115.577,0.9,-0.93,-0.79,0.17,-0.67,0.22,0.0
115.617,0.96,-0.93,-0.85,-0.05,-0.67,-0.16,0.02
115.656,1.0,-0.94,-0.92,-0.14,-0.65,-0.52,0.02
115.695,1.04,-0.95,-0.97,-0.13,-0.64,-0.84,0.0
115.735,1.04,-0.97,-1.03,-0.06,-0.61,-1.08,-0.04
115.774,1.03,-0.99,-1.05,0.0,-0.56,-1.19,-0.06
115.813,0.97,-1.0,-1.05,0.07,-0.5,-1.22,-0.07
115.852,0.89,-0.97,-1.03,0.14,-0.43,-1.15,-0.1
115.892,0.8,-0.94,-0.95,0.2,-0.36,-1.0,-0.14
115.931,0.73,-0.88,-0.86,0.22,-0.29,-0.84,-0.18
115.97,0.64,-0.81,-0.78,0.16,-0.25,-0.62,-0.2
116.01,0.53,-0.72,-0.67,0.07,-0.21,-0.43,-0.16
116.049,0.41,-0.65,-0.53,-0.04,-0.14,-0.23,-0.04
116.088,0.25,-0.58,-0.31,-0.14,-0.04,-0.03,0.16
116.128,0.11,-0.49,0.02,-0.25,0.15,0.16,0.44
116.167,-0.03,-0.39,0.43,-0.35,0.43,0.33,0.74
116.206,-0.17,-0.25,0.87,-0.41,0.76,0.46,1.11
116.246,-0.27,-0.07,1.32,-0.45,1.15,0.53,1.49
116.285,-0.37,0.11,1.68,-0.48,1.55,0.47,1.82
116.324,-0.46,0.31,1.89,-0.49,1.92,0.3,1.95
116.364,-0.54,0.48,1.9,-0.51,2.13,0.06,1.9
116.403,-0.61,0.65,1.78,-0.54,2.11,-0.22,1.68
116.442,-0.68,0.83,1.5,-0.56,1.88,-0.49,1.32
116.481,-0.72,1.02,1.2,-0.58,1.47,-0.74,0.89
116.521,-0.74,1.18,0.99,-0.59,0.97,-0.95,0.42
116.56,-0.78,1.26,0.84,-0.59,0.45,-1.09,-0.06
116.599,-0.79,1.29,0.69,-0.62,-0.04,-1.17,-0.51
116.639,-0.81,1.25,0.56,-0.66,-0.48,-1.17,-0.86
116.678,-0.83,1.2,0.49,-0.71,-0.76,-1.09,-1.08
116.717,-0.85,1.14,0.45,-0.77,-0.9,-0.93,-1.19
116.757,-0.86,1.08,0.42,-0.8,-0.92,-0.71,-1.22
116.796,-0.86,1.02,0.35,-0.82,-0.87,-0.41,-1.2
116.835,-0.84,0.91,0.28,-0.83,-0.71,-0.09,-1.1
116.875,-0.79,0.78,0.19,-0.83,-0.5,0.25,-0.96
116.914,-0.72,0.64,0.08,-0.84,-0.26,0.58,-0.78
116.953,-0.66,0.52,-0.03,-0.82,-0.02,0.83,-0.62
116.993,-0.59,0.44,-0.12,-0.76,0.15,0.93,-0.49
117.032,-0.51,0.38,-0.2,-0.64,0.24,0.91,-0.39
117.071,-0.4,0.34,-0.24,-0.43,0.26,0.81,-0.32
117.11,-0.29,0.26,-0.28,-0.17,0.2,0.73,-0.29
117.15,-0.16,0.19,-0.3,0.14,0.09,0.73,-0.23
117.189,-0.03,0.11,-0.32,0.52,-0.02,0.83,-0.18
117.228,0.08,0.0,-0.36,1.0,-0.13,0.94,-0.13
117.268,0.21,-0.11,-0.42,1.56,-0.25,1.07,-0.09
117.307,0.34,-0.24,-0.49,2.05,-0.33,1.17,-0.07
117.346,0.45,-0.36,-0.54,2.3,-0.4,1.24,-0.07
117.386,0.55,-0.49,-0.58,2.23,-0.47,1.27,-0.07
117.425,0.63,-0.63,-0.63,1.95,-0.51,1.23,-0.09
117.464,0.69,-0.73,-0.65,1.48,-0.57,1.12,-0.09
117.504,0.75,-0.83,-0.68,0.97,-0.61,0.93,-0.07
117.543,0.8,-0.89,-0.72,0.54,-0.63,0.67,-0.04
117.582,0.87,-0.91,-0.77,0.26,-0.65,0.35,0.0
117.622,0.94,-0.93,-0.83,0.03,-0.67,-0.01,0.02
117.661,0.99,-0.94,-0.89,-0.12,-0.67,-0.39,0.02
117.7,1.03,-0.95,-0.96,-0.14,-0.65,-0.72,0.01
117.739,1.05,-0.97,-1.02,-0.08,-0.62,-0.99,-0.01
117.779,1.04,-0.99,-1.05,-0.02,-0.58,-1.16,-0.05
117.818,0.99,-1.0,-1.06,0.04,-0.53,-1.22,-0.07
117.857,0.92,-0.99,-1.03,0.11,-0.46,-1.18,-0.09
117.897,0.83,-0.96,-0.98,0.19,-0.39,-1.05,-0.13
117.936,0.76,-0.9,-0.91,0.22,-0.32,-0.89,-0.18
117.975,0.66,-0.83,-0.82,0.19,-0.27,-0.71,-0.2
118.015,0.57,-0.76,-0.72,0.11,-0.22,-0.52,-0.18
118.054,0.44,-0.67,-0.58,0.01,-0.16,-0.3,-0.09
118.093,0.31,-0.6,-0.4,-0.1,-0.07,-0.1,0.08
118.133,0.16,-0.53,-0.11,-0.21,0.07,0.1,0.33
118.172,0.01,-0.43,0.25,-0.31,0.31,0.28,0.64
118.211,-0.11,-0.31,0.7,-0.39,0.63,0.42,0.97
118.251,-0.23,-0.14,1.15,-0.44,1.0,0.49,1.37
118.29,-0.34,0.04,1.55,-0.47,1.4,0.49,1.73
118.329,-0.43,0.23,1.83,-0.49,1.8,0.37,1.94
118.368,-0.52,0.42,1.91,-0.51,2.08,0.16,1.94
118.408,-0.6,0.59,1.85,-0.53,2.13,-0.11,1.79
118.447,-0.66,0.76,1.61,-0.56,1.99,-0.4,1.47
118.486,-0.71,0.95,1.32,-0.58,1.63,-0.66,1.04
118.526,-0.74,1.12,1.06,-0.58,1.15,-0.89,0.59
118.565,-0.77,1.23,0.9,-0.59,0.64,-1.05,0.1
118.604,-0.79,1.28,0.74,-0.6,0.15,-1.14,-0.37
118.644,-0.81,1.26,0.6,-0.64,-0.33,-1.17,-0.75
118.683,-0.84,1.21,0.52,-0.7,-0.67,-1.12,-1.01
118.722,-0.85,1.17,0.46,-0.75,-0.85,-1.0,-1.16
118.762,-0.86,1.11,0.43,-0.79,-0.92,-0.8,-1.22
118.801,-0.86,1.05,0.38,-0.82,-0.89,-0.53,-1.21
118.84,-0.84,0.96,0.3,-0.83,-0.78,-0.21,-1.14
118.879,-0.8,0.83,0.21,-0.83,-0.58,0.14,-1.01
118.919,-0.74,0.69,0.12,-0.83,-0.34,0.47,-0.84
118.958,-0.68,0.57,0.01,-0.83,-0.11,0.75,-0.68
118.997,-0.63,0.47,-0.09,-0.79,0.09,0.91,-0.52
119.037,-0.54,0.4,-0.17,-0.69,0.21,0.92,-0.42
119.076,-0.45,0.35,-0.22,-0.52,0.26,0.84,-0.36
119.115,-0.33,0.3,-0.26,-0.28,0.22,0.75,-0.31
119.155,-0.22,0.23,-0.29,0.02,0.14,0.72,-0.26
119.194,-0.09,0.13,-0.3,0.37,0.03,0.78,-0.2
119.233,0.03,0.04,-0.34,0.81,-0.08,0.9,-0.14
119.273,0.15,-0.07,-0.4,1.34,-0.2,1.04,-0.11
119.312,0.29,-0.18,-0.46,1.88,-0.29,1.16,-0.07
119.351,0.41,-0.3,-0.53,2.24,-0.37,1.23,-0.06
119.391,0.52,-0.45,-0.57,2.29,-0.44,1.27,-0.07
119.43,0.6,-0.58,-0.62,2.08,-0.49,1.24,-0.09
119.469,0.68,-0.7,-0.64,1.67,-0.54,1.16,-0.09
119.508,0.72,-0.81,-0.67,1.17,-0.58,1.02,-0.07
119.548,0.78,-0.87,-0.71,0.69,-0.62,0.79,-0.05
119.587,0.84,-0.9,-0.75,0.36,-0.64,0.49,-0.03
119.626,0.91,-0.93,-0.81,0.12,-0.65,0.12,0.01
119.666,0.97,-0.94,-0.86,-0.08,-0.67,-0.26,0.02
119.705,1.0,-0.94,-0.94,-0.14,-0.65,-0.61,0.02
119.744,1.04,-0.96,-0.99,-0.11,-0.64,-0.9,0.0
119.784,1.04,-0.97,-1.04,-0.05,-0.6,-1.11,-0.04
119.823,1.0,-1.0,-1.06,0.01,-0.55,-1.21,-0.06
119.862,0.94,-1.0,-1.04,0.09,-0.48,-1.21,-0.09
119.902,0.86,-0.97,-1.0,0.16,-0.4,-1.11,-0.12
119.941,0.78,-0.93,-0.93,0.22,-0.34,-0.96,-0.17
119.98,0.7,-0.87,-0.85,0.21,-0.28,-0.79,-0.2
120.02,0.6,-0.78,-0.76,0.14,-0.23,-0.58,-0.19
120.059,0.49,-0.71,-0.64,0.05,-0.2,-0.37,-0.13
120.098,0.36,-0.64,-0.47,-0.06,-0.12,-0.17,0.02
120.137,0.21,-0.57,-0.23,-0.17,0.01,0.02,0.23
120.177,0.07,-0.48,0.11,-0.28,0.21,0.21,0.52
120.216,-0.08,-0.36,0.52,-0.36,0.49,0.37,0.85
120.255,-0.19,-0.22,0.98,-0.42,0.84,0.49,1.22
120.295,-0.3,-0.04,1.4,-0.46,1.25,0.52,1.61
120.334,-0.39,0.16,1.75,-0.48,1.66,0.45,1.89
120.373,-0.49,0.34,1.9,-0.49,1.99,0.25,1.96
120.413,-0.57,0.52,1.89,-0.52,2.13,-0.01,1.86
120.452,-0.64,0.69,1.72,-0.54,2.06,-0.29,1.6
120.491,-0.7,0.88,1.44,-0.57,1.8,-0.56,1.2
120.531,-0.73,1.05,1.15,-0.58,1.35,-0.8,0.76
120.57,-0.77,1.2,0.96,-0.58,0.85,-0.99,0.29
120.609,-0.78,1.26,0.8,-0.59,0.34,-1.11,-0.2
120.649,-0.81,1.28,0.65,-0.63,-0.16,-1.17,-0.62
120.688,-0.84,1.24,0.54,-0.67,-0.56,-1.15,-0.94
