Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,D Term 1,D Term 2,P Term 1,P Term 2
x**2*(-x/2 + 1/2)*(x - 1)**2*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/4,-1,1,387/2240,wjm1o2p,dpsihms,dpsihph,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/4,-1,1,9/2240,wjp1o2m,dpsihms,dpsihph,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x - 1)**2*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/4,-1,1,-27/320,wjm1o2p,dpsihps,dpsihph,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/4,-1,1,-27/2240,wjp1o2m,dpsihps,dpsihph,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x - 1)**2*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)**2/4,-1,1,131/6720,wjm1o2p,dpsihph,dpsihph,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)**2/4,-1,1,13/1344,wjp1o2m,dpsihph,dpsihph,phijm1o2,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)**2/2,-1,1,103/336,wjm1o2p,dpsihmh,dpsihmh,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)**2/2,-1,1,3/70,wjp1o2m,dpsihmh,dpsihmh,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,-183/560,wjm1o2p,dpsihms,dpsihmh,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,-3/140,wjp1o2m,dpsihms,dpsihmh,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,3/112,wjm1o2p,dpsihps,dpsihmh,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(-27*(x - 1)*(x + 1/3)/16 - 27*(x - 1)*(x + 1)/16 - 27*(x + 1/3)*(x + 1)/16)/2,-1,1,-3/140,wjp1o2m,dpsihps,dpsihmh,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,-11/1680,wjm1o2p,dpsihph,dpsihmh,phij,phijm1o2
-x*(x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16)/2,-1,1,0,wjp1o2m,dpsihph,dpsihmh,phij,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,-183/560,wjm1o2p,dpsihmh,dpsihms,phij,phijm1o2
