Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,D Term 1,P Term 1,D Term 2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,2/105,wjm1o2p,wjp1o2m,dpsihph,phij,dphijm1o2
-(x/2 + 1/2)**2*(x - 1)*(x - 1/2)*(x + 1)*(9*(x - 1/3)*(x + 1/3)/16 + 9*(x - 1/3)*(x + 1)/16 + 9*(x + 1/3)*(x + 1)/16),-1,1,11/210,wjp1o2m,wjp1o2m,dpsihph,phij,dphijm1o2
x*(-x/2 + 1/2)**2*(x - 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,-19/280,wjm1o2p,wjm1o2p,dpsihmh,phijp1o2,dphijm1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,-23/1680,wjp1o2m,wjm1o2p,dpsihmh,phijp1o2,dphijm1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,-23/1680,wjm1o2p,wjp1o2m,dpsihmh,phijp1o2,dphijm1o2
x*(x/2 + 1/2)**2*(x - 1/2)*(x + 1)*(-9*(x - 1)*(x - 1/3)/16 - 9*(x - 1)*(x + 1/3)/16 - 9*(x - 1/3)*(x + 1/3)/16)/2,-1,1,-43/1680,wjp1o2m,wjp1o2m,dpsihmh,phijp1o2,dphijm1o2
x*(-x/2 + 1/2)**2*(x - 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,33/560,wjm1o2p,wjm1o2p,dpsihms,phijp1o2,dphijm1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,3/280,wjp1o2m,wjm1o2p,dpsihms,phijp1o2,dphijm1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,3/280,wjm1o2p,wjp1o2m,dpsihms,phijp1o2,dphijm1o2
x*(x/2 + 1/2)**2*(x - 1/2)*(x + 1)*(27*(x - 1)*(x - 1/3)/16 + 27*(x - 1)*(x + 1)/16 + 27*(x - 1/3)*(x + 1)/16)/2,-1,1,3/28,wjp1o2m,wjp1o2m,dpsihms,phijp1o2,dphijm1o2
