dx,dt,time,xi,Eval,height(m),G,u(m/s),true height,true velocity
0.09765625,0.0119566931342,0.0119566931342,-42.08984375,528.396026442,1.0,-4.04066249679e-148,-8.43916741833e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.9921875,528.396026442,1.0,-6.01667680167e-146,-9.99445075507e-37,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.89453125,528.396026442,1.0,-1.62502411226e-144,-1.18363626344e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.796875,528.396026442,1.0,-1.58564981139e-143,-1.40177268212e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.69921875,528.396026442,1.0,-3.0751996342e-142,-1.66011021547e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.6015625,528.396026442,1.0,-5.16633538546e-141,-1.96605766589e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.50390625,528.396026442,1.0,-3.00904867318e-139,-2.32838922956e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.40625,528.396026442,1.0,-7.16573451474e-138,-2.75749612965e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.30859375,528.396026442,1.0,-3.92323964682e-136,-3.26568462372e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.2109375,528.396026442,1.0,-1.06626129579e-134,-3.86752893212e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.11328125,528.396026442,1.0,-2.10500617105e-133,-4.58028920861e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-41.015625,528.396026442,1.0,-4.81353916587e-132,-5.42440654039e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.91796875,528.396026442,1.0,-2.50069229837e-130,-6.42408917326e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.8203125,528.396026442,1.0,-3.00552689381e-131,-7.60800677432e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.72265625,528.396026442,1.0,-1.04111451602e-127,-9.01011264275e-36,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.625,528.396026442,1.0,-1.18874599704e-126,-1.06706174486e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.52734375,528.396026442,1.0,-6.83240417716e-125,-1.26371424253e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.4296875,528.396026442,1.0,-9.45457010461e-125,-1.49660850879e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.33203125,528.396026442,1.0,-3.20825078883e-122,-1.77242366448e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.234375,528.396026442,1.0,-2.13194252812e-120,-2.09906974867e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.13671875,528.396026442,1.0,-1.81366388012e-119,-2.48591456889e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-40.0390625,528.396026442,1.0,-7.64191471197e-119,-2.9440523583e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.94140625,528.396026442,1.0,-1.67543816604e-116,-3.48662194466e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.84375,528.396026442,1.0,-3.32047390382e-115,-4.12918355568e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.74609375,528.396026442,1.0,-4.73749142966e-114,-4.89016506726e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.6484375,528.396026442,1.0,-1.6567684314e-112,-5.79139049224e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.55078125,528.396026442,1.0,-5.38828739519e-111,-6.85870586621e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.453125,528.396026442,1.0,-2.41173506563e-109,-8.12272048004e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.35546875,528.396026442,1.0,1.89834042867e-108,-9.61968471659e-35,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.2578125,528.396026442,1.0,-1.39944946742e-106,-1.13925296671e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.16015625,528.396026442,1.0,-3.05210561332e-105,-1.34920983421e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-39.0625,528.396026442,1.0,-1.54930694467e-103,-1.59786037862e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.96484375,528.396026442,1.0,-1.70685372966e-102,-1.89233559141e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.8671875,528.396026442,1.0,-9.00400223601e-101,-2.24108065914e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.76953125,528.396026442,1.0,-2.13357646373e-99,-2.65409716096e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.671875,528.396026442,1.0,-2.7660294869e-98,-3.14322990166e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.57421875,528.396026442,1.0,-1.32403659406e-96,-3.72250660602e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.4765625,528.396026442,1.0,-1.45912246388e-95,-4.40854021671e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.37890625,528.396026442,1.0,6.74161395076e-95,-5.22100533305e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.28125,528.396026442,1.0,-1.66592771405e-92,-6.18320245428e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.18359375,528.396026442,1.0,-7.87500410058e-91,-7.32272620919e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-38.0859375,528.396026442,1.0,4.60227512372e-90,-8.67225673609e-34,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.98828125,528.396026442,1.0,-7.93964049787e-88,-1.0270496909e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.890625,528.396026442,1.0,3.72829285044e-87,-1.21632822882e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.79296875,528.396026442,1.0,-2.20513860278e-85,-1.44048956282e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.6953125,528.396026442,1.0,-3.44242913796e-84,-1.70596236395e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.59765625,528.396026442,1.0,-2.36101308104e-82,-2.02036006531e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.5,528.396026442,1.0,-2.69045676676e-81,-2.3926992059e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.40234375,528.396026442,1.0,-1.88705343184e-79,-2.83365801384e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.3046875,528.396026442,1.0,-3.19920566917e-78,-3.35588264483e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.20703125,528.396026442,1.0,-8.61817653727e-77,-3.97434985834e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.109375,528.396026442,1.0,-2.25116127003e-75,-4.70679653259e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-37.01171875,528.396026442,1.0,-1.72262775446e-74,-5.57422833643e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.9140625,528.396026442,1.0,-7.25161801234e-73,-6.601522146e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.81640625,528.396026442,1.0,-6.67856332063e-71,-7.81813948298e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.71875,528.396026442,1.0,-1.01876389637e-69,-9.25897143469e-33,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.62109375,528.396026442,1.0,8.54856105041e-69,-1.09653392876e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.5234375,528.396026442,1.0,-6.56838589184e-67,-1.29861795708e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.42578125,528.396026442,1.0,-1.04846893859e-65,-1.53794474956e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.328125,528.396026442,1.0,-6.33037849717e-65,-1.82137790395e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.23046875,528.396026442,1.0,-1.52182299072e-62,-2.15704593416e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.1328125,528.396026442,1.0,-2.15131582848e-61,-2.55457538602e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-36.03515625,528.396026442,1.0,-2.29473688371e-60,-3.02536691477e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.9375,528.396026442,1.0,-3.17373779171e-58,-3.58292224184e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.83984375,528.396026442,1.0,-3.49152643857e-57,-4.24323136753e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.7421875,528.396026442,1.0,-1.18738450443e-55,-5.0252311446e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.64453125,528.396026442,1.0,-8.29257442808e-55,-5.95134836388e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.546875,528.396026442,1.0,-6.17728822971e-53,-7.04814292697e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.44921875,528.396026442,1.0,-1.37466414126e-51,-8.34706955158e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.3515625,528.396026442,1.0,-4.81097647817e-50,-9.88537985409e-32,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.25390625,528.396026442,1.0,-1.58227670837e-48,-1.170719068e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.15625,528.396026442,1.0,-2.0583851954e-47,-1.38647493208e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-35.05859375,528.396026442,1.0,-2.31725136679e-46,-1.64199319019e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.9609375,528.396026442,1.0,-2.78508069785e-44,-1.94460179139e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.86328125,528.396026442,1.0,-3.23232845771e-43,-2.30297917779e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.765625,528.396026442,1.0,-2.12250007396e-41,-2.72740317155e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.66796875,528.396026442,1.0,-1.88454091074e-40,-3.23004572979e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.5703125,528.396026442,1.0,-1.83977110637e-38,-3.82532201548e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.47265625,528.396026442,1.0,-1.63589630489e-37,-4.5303037266e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.375,528.396026442,1.0,-6.5827683646e-36,-5.36520764037e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.27734375,528.396026442,1.0,-1.33912316446e-34,-6.35396117603e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.1796875,528.396026442,1.0,-5.64939450354e-33,-7.52471195335e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-34.08203125,528.396026442,1.0,2.64117150039e-15,-8.9085747943e-31,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-33.984375,528.396026442,1.0,-3.96175725059e-14,-1.05300001109e-30,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-33.88671875,528.396026442,1.0,4.0524346779e-14,9.06774273054e-16,1.0,9.06774273054e-16
0.09765625,0.0119566931342,0.0119566931342,-33.7890625,528.396026442,1.0,-1.73439722734e-15,9.06774273054e-16,1.0,9.06774273054e-16
0.09765625,0.0119566931342,0.0119566931342,-33.69140625,528.396026442,1.0,9.06774273054e-16,9.06774273054e-16,1.0,9.06774273054e-16
